"HS_ID","Skupina","Podskupina","Kategorie výrobku","Zdroj","Included","CAGR_2022_30_ANALYSIS","IS_REALCAGR","CAGR_2022_30_FORECAST","CZ_Nazev","ENG_Nazev","Upravováno na novou HS22 terminologii","Odkud","Nově vloženo","Proč, odkud","IMF","","","","","","","","","",""
"854143","A04. Výroba nízkoemisní elektřiny a paliv","A04b. Solární","Komponenty pro solární energetiku","LSE Navigator","IN","0.1200","Y","0.1200","Fotovoltaické články sestavené do modulů nebo<br>zabudované do panelů","Electrical apparatus: photosensitive semiconductor devices, photovoltaic cells assembled in modules or made up into panels","Ano","","","","1","","","","","","","","","",""
"854449","A06. Energetické sítě","A06a. Distribuce a přenos elektřiny","Transformační stanice a další síťové komponenty","HAL open science paper: ""Competitive advantage in the renewable energy industry: Evidence from a gravity model"" by Onno Kuik, FrÃ©dÃ©ric Branger, Philippe Quirion, 2019; https://hal.science/hal-04431247/document","IN","","N","0.0400","Vodiče elektrické,<1000V,bez přípojek","Insulated electric conductors: for a voltage not exceeding 1000 volts, not fitted with connectors","Ano","","","","0","","","","","","","","","",""
"900580","E01. Měřící a diagnostické přístroje; Monitoring","E01a. Optická měření (HS 9000 - 9013, HS 903140)","Optická měření","LSE Navigator","IN","","N","0.0400","Teleskopy opt.ost,přístroje astronomické ost.","Monoculars: other optical telescopes and astronomical instruments, excluding instruments for radio-astronomy","","","","","0","","","","","","","","","",""
"680690","A03. Budovy","A03a. Snižování energetické náročnosti budov","Zateplení, izolace","LSE Navigator","IN","","N","0.0400","Směsi,výr.z mater.nerost.pro izolaci tepel.aj","Minerals: mixtures and articles of heat-insulating, sound-insulating or sound-absorbing mineral materials, other than those of heading no. 6811 or 6812 or of chapter 69","","","","","1","","","","","","","","","",""
"902790","E01. Měřící a diagnostické přístroje; Monitoring","E01e. Chemická analýza (HS9027)","Ostatní","LSE Navigator","IN","","N","0.0400","Mikrotomy,části přístrojů pro rozbory,měření","Microtomes and parts and accessories thereof","","","","","1","","","","","","","","","",""
"903180","E01. Měřící a diagnostické přístroje; Monitoring","E01i. Ostatní","Ostatní","LSE Navigator","IN","","N","0.0400","Přístroje,nástroje měřící,kontrolní ost,jn","Instruments, appliances and machines: for measuring or checking n.e.c. in chapter 90","","","","","1","","","","","","","","","",""
"871491","A02. Doprava","A02e. Cyklistika a jednostopá ","Díly a vybavení","LSE Navigator","IN","","N","0.0400","Rámy,vidlice motocyklů,jízd.kol,invalid.voz.","Cycles: frames and forks, and parts thereof","Ano","","","","0","","","","","","","","","",""
"903220","E01. Měřící a diagnostické přístroje; Monitoring","E01i. Ostatní (HS 903x, a další)","Ostatní","LSE Navigator","IN","","N","0.0400","Manostaty(presostaty)","Regulating or controlling instruments and apparatus: automatic, manostats","","","","","1","","","","","","","","","",""
"860400","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Vozidla k údržbě tratí železnič.aj kolejových","Railway or tramway maintenance or service vehicles: whether or not self-propelled (e.g. workshops, cranes, ballast tampers, trackliners, testing coaches and track inspection vehicles)","","","","","0","","","","","","","","","",""
"841960","A05. Ukládání energie","A05b. Vodik a čpavek","Vodík (elektrolyzéry)","https://www.findhs.codes/?guid=b747ea1d-f800-484a-8091-f020571b7519
https://www.seair.co.in/electrolyzer-hs-code.aspx","IN","","N","0.0400","Přístroje pro zkapalňování vzduchu aj plynu","Machinery: for liquefying air or gas, not used for domestic purposes","","","","","1","","","","","","","","","",""
