HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
903281,Měřící a diagnostické přístroje; Monitoring,Termostaty,Termostaty,IN,"Přístr.autom.regulační,kontrolní,hydraul,pneu",Hydraulic and pneumatic automatic controls,#ffe119,#F0E68C
903289,Měřící a diagnostické přístroje; Monitoring,Termostaty,Termostaty,IN,"Přístroje automatické regulační,kontrolní ost",Automatic regulating/controlling equipment nes,#ffe119,#F0E68C
903290,Měřící a diagnostické přístroje; Monitoring,Termostaty,Termostaty,IN,"Části přístr.automat.regulačních,kontrolních",Parts and accessories for automatic controls,#ffe119,#F0E68C
903300,Výroba nízkoemisní elektřiny a paliv,Solární,"Optická zařízení, lasery, teleskopy, dalekohledy, zrcadla",IN,"Části přístr.opt,foto,měřicích ap,lék,chir,jn",Parts/accessories nes for optical/electric instrument,#3cb44b,#3CB44B
940511,Budovy,Snižování energetické náročnosti budov,Svícení,IN,LED Lustry a ostatní stropní nebo nástěnná<br>svítidla,LED chandeliers and wall/ceiling lights,#D2F53C,#FFE119
940521,Budovy,Snižování energetické náročnosti budov,Svícení,IN,"Elektrická svítidla k postavení na stůl,<br>na noční stolek nebo na podlahu,<br>konstruovaná výhradně pro použití s LED<br>světel","LED table, desk, and floor lamps",#D2F53C,#FFE119
940541,Budovy,Snižování energetické náročnosti budov,Svícení,IN,"Fotovoltaické svítidla a osvětlovací zařízení, konstruované<br>výhradně pro použití s LED světelnými<br>zdroji, jinde neuveden",LED photovoltaic light fittings,#D2F53C,#FFE119
940542,Budovy,Snižování energetické náročnosti budov,Svícení,IN,"Svítidla a osvětlovací zařízení, konstruované výhradně<br>pro použití s LED světelnými zdroji,<br>jinde neuvedené ani nezahrnu",LED-specific light fittings,#D2F53C,#FFE119
940561,Budovy,Snižování energetické náročnosti budov,Svícení,IN,"Světelné reklamy, světelné znaky, světelné ukazatele<br>a podobné výrobky, konstruované výhradně pro<br>použití s LED světelný",LED illuminated signs and name-plates,#D2F53C,#FFE119
940610,"Materiálová efektivita, šetrné materiály","Materiálová efektivita, šetrné materiály","Dřevo, papír a textil - obaly, izolace",IN,"Montované stavby, ze dřeva, též nezkompletované","Buildings; prefabricated, of wood",#a874d4,#a874d4
271112,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Šetrnější alternativy - chladiva,IN,Propan zkapalněný,"Propane, liquefied",#f58231,#F8CBAD
271113,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Šetrnější alternativy - chladiva,IN,Butan zkapalněný,"Butanes, liquefied",#f58231,#F8CBAD
281420,"Výroba surovin, komponent a zařízení pro nízkouhlíkové technologie",Výroba surovin a materiálů pro nízkouhlíkové technologie,Šetrnější alternativy - chladiva,IN,Amoniak(čpavek)ve vodném roztoku,Ammonia in aqueous solution,#f58231,#F8CBAD
880629,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, pouze pro dálkově ovládané<br>lety, o maximální vzletové hmotnosti ><br>150 kg (kromě těch pro přepravu<br>ce","Heavy drones (>150kg), RC Only",#e6194B,#F032E6
